ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10400515100760001,9/8/2023,9/9/2023 9:27,0:00,0:15,3.005,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,0:15,0:30,2.933,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,0:30,0:45,3.078,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,0:45,1:00,2.744,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,1:00,1:15,2.895,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,1:15,1:30,2.866,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,1:30,1:45,2.707,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,1:45,2:00,2.857,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,2:00,2:15,1.133,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,2:15,2:30,0.896,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,2:30,2:45,1.1,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,2:45,3:00,0.676,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,3:00,3:15,1.147,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,3:15,3:30,0.679,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,3:30,3:45,0.948,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,3:45,4:00,0.805,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,4:00,4:15,0.903,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,4:15,4:30,0.786,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,4:30,4:45,1.012,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,4:45,5:00,0.497,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,5:00,5:15,0.962,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,5:15,5:30,0.695,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,5:30,5:45,0.516,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,5:45,6:00,0.862,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,6:00,6:15,0.798,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,6:15,6:30,0.984,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,6:30,6:45,0.508,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,6:45,7:00,0.54,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,7:00,7:15,0.241,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,7:15,7:30,0.739,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,7:30,7:45,0.393,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,7:45,8:00,0.319,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,8:00,8:15,0.515,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,8:15,8:30,0.226,A,Consumption
'10400515100760001,9/8/2023,9/9/2023 9:27,8:30,8:45,0.563,A,Consumption
